[2026-05-16 23:00:14] [incremental] 3 datasets | overlap=3 days | workers=6 | parallel=False
[2026-05-16 23:00:14] [incremental] Datasets: ['min_adj_15min', 'min_adj_30min', 'min_adj_60min']
[2026-05-16 23:00:14] 
============================================================
[2026-05-16 23:00:14] [min_adj_15min] Starting incremental update
[2026-05-16 23:00:20] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.7s
[2026-05-16 23:00:20] [min_adj_15min] [incr] 37/2542 | 1 stocks, 64 rows, +0 new | elapsed=6s ETA=388s | tokens=0.3
[2026-05-16 23:00:20] [min_adj_15min] [incr] 38/2542 | 1 stocks, 64 rows, +0 new | elapsed=6s ETA=383s | tokens=0.7
[2026-05-16 23:00:21] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.0s
[2026-05-16 23:00:21] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.5s
[2026-05-16 23:00:21] [min_adj_15min] [incr] 39/2542 | 1 stocks, 64 rows, +0 new | elapsed=6s ETA=404s | tokens=0.3
[2026-05-16 23:00:21] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.4s
[2026-05-16 23:00:21] [min_adj_15min] [incr] 40/2542 | 1 stocks, 64 rows, +0 new | elapsed=6s ETA=399s | tokens=0.3
[2026-05-16 23:00:21] [min_adj_15min] [incr] 41/2542 | 1 stocks, 64 rows, +0 new | elapsed=6s ETA=393s | tokens=-1.4
[2026-05-16 23:00:21] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:22] [min_adj_15min] [incr] 42/2542 | 1 stocks, 64 rows, +0 new | elapsed=7s ETA=408s | tokens=0.3
[2026-05-16 23:00:22] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.2s
[2026-05-16 23:00:22] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.3s
[2026-05-16 23:00:22] [min_adj_15min] [incr] 43/2542 | 1 stocks, 64 rows, +0 new | elapsed=7s ETA=404s | tokens=0.1
[2026-05-16 23:00:22] [min_adj_15min] [incr] 44/2542 | 1 stocks, 64 rows, +0 new | elapsed=7s ETA=399s | tokens=-0.5
[2026-05-16 23:00:22] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:22] [min_adj_15min] [incr] 45/2542 | 1 stocks, 64 rows, +0 new | elapsed=7s ETA=411s | tokens=0.3
[2026-05-16 23:00:22] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.1s
[2026-05-16 23:00:22] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 1.2s
[2026-05-16 23:00:22] [min_adj_15min] [incr] 46/2542 | 1 stocks, 64 rows, +0 new | elapsed=7s ETA=406s | tokens=0.1
[2026-05-16 23:00:22] [min_adj_15min] [incr] 47/2542 | 1 stocks, 64 rows, +0 new | elapsed=8s ETA=402s | tokens=-0.5
